,name,estimator
0,ARDL,<class 'sktime.forecasting.ardl.ARDL'>
1,ARIMA,<class 'sktime.forecasting.arima.ARIMA'>
2,AutoARIMA,<class 'sktime.forecasting.arima.AutoARIMA'>
3,AutoETS,<class 'sktime.forecasting.ets.AutoETS'>
4,AutoEnsembleForecaster,<class 'sktime.forecasting.compose._ensemble.AutoEnsembleForecaster'>
5,BATS,<class 'sktime.forecasting.bats.BATS'>
6,BaggingForecaster,<class 'sktime.forecasting.compose._bagging.BaggingForecaster'>
7,ColumnEnsembleForecaster,<class 'sktime.forecasting.compose._column_ensemble.ColumnEnsembleForecaster'>
8,ConformalIntervals,<class 'sktime.forecasting.conformal.ConformalIntervals'>
9,Croston,<class 'sktime.forecasting.croston.Croston'>
10,DirRecTabularRegressionForecaster,<class 'sktime.forecasting.compose._reduce.DirRecTabularRegressionForecaster'>
11,DirRecTimeSeriesRegressionForecaster,<class 'sktime.forecasting.compose._reduce.DirRecTimeSeriesRegressionForecaster'>
12,DirectTabularRegressionForecaster,<class 'sktime.forecasting.compose._reduce.DirectTabularRegressionForecaster'>
13,DirectTimeSeriesRegressionForecaster,<class 'sktime.forecasting.compose._reduce.DirectTimeSeriesRegressionForecaster'>
14,DontUpdate,<class 'sktime.forecasting.stream._update.DontUpdate'>
15,DynamicFactor,<class 'sktime.forecasting.dynamic_factor.DynamicFactor'>
16,EnsembleForecaster,<class 'sktime.forecasting.compose._ensemble.EnsembleForecaster'>
17,ExponentialSmoothing,<class 'sktime.forecasting.exp_smoothing.ExponentialSmoothing'>
18,ForecastByLevel,<class 'sktime.forecasting.compose._grouped.ForecastByLevel'>
19,ForecastX,<class 'sktime.forecasting.compose._pipeline.ForecastX'>
20,ForecastingGridSearchCV,<class 'sktime.forecasting.model_selection._tune.ForecastingGridSearchCV'>
21,ForecastingPipeline,<class 'sktime.forecasting.compose._pipeline.ForecastingPipeline'>
22,ForecastingRandomizedSearchCV,<class 'sktime.forecasting.model_selection._tune.ForecastingRandomizedSearchCV'>
23,HCrystalBallAdapter,<class 'sktime.forecasting.adapters._hcrystalball.HCrystalBallAdapter'>
24,HierarchyEnsembleForecaster,<class 'sktime.forecasting.compose._hierarchy_ensemble.HierarchyEnsembleForecaster'>
25,MultioutputTabularRegressionForecaster,<class 'sktime.forecasting.compose._reduce.MultioutputTabularRegressionForecaster'>
26,MultioutputTimeSeriesRegressionForecaster,<class 'sktime.forecasting.compose._reduce.MultioutputTimeSeriesRegressionForecaster'>
27,MultiplexForecaster,<class 'sktime.forecasting.compose._multiplexer.MultiplexForecaster'>
28,NaiveForecaster,<class 'sktime.forecasting.naive.NaiveForecaster'>
29,NaiveVariance,<class 'sktime.forecasting.naive.NaiveVariance'>
30,OnlineEnsembleForecaster,<class 'sktime.forecasting.online_learning._online_ensemble.OnlineEnsembleForecaster'>
31,Permute,<class 'sktime.forecasting.compose._pipeline.Permute'>
32,PluginParamsForecaster,<class 'sktime.param_est.plugin.PluginParamsForecaster'>
33,PolynomialTrendForecaster,<class 'sktime.forecasting.trend.PolynomialTrendForecaster'>
34,Prophet,<class 'sktime.forecasting.fbprophet.Prophet'>
35,ReconcilerForecaster,<class 'sktime.forecasting.reconcile.ReconcilerForecaster'>
36,RecursiveTabularRegressionForecaster,<class 'sktime.forecasting.compose._reduce.RecursiveTabularRegressionForecaster'>
37,RecursiveTimeSeriesRegressionForecaster,<class 'sktime.forecasting.compose._reduce.RecursiveTimeSeriesRegressionForecaster'>
38,SARIMAX,<class 'sktime.forecasting.sarimax.SARIMAX'>
39,STLForecaster,<class 'sktime.forecasting.trend.STLForecaster'>
40,SquaringResiduals,<class 'sktime.forecasting.squaring_residuals.SquaringResiduals'>
41,StackingForecaster,<class 'sktime.forecasting.compose._stack.StackingForecaster'>
42,StatsForecastAutoARIMA,<class 'sktime.forecasting.statsforecast.StatsForecastAutoARIMA'>
43,TBATS,<class 'sktime.forecasting.tbats.TBATS'>
44,ThetaForecaster,<class 'sktime.forecasting.theta.ThetaForecaster'>
45,ThetaModularForecaster,<class 'sktime.forecasting.theta.ThetaModularForecaster'>
46,TransformedTargetForecaster,<class 'sktime.forecasting.compose._pipeline.TransformedTargetForecaster'>
47,TrendForecaster,<class 'sktime.forecasting.trend.TrendForecaster'>
48,UnobservedComponents,<class 'sktime.forecasting.structural.UnobservedComponents'>
49,UpdateEvery,<class 'sktime.forecasting.stream._update.UpdateEvery'>
50,UpdateRefitsEvery,<class 'sktime.forecasting.stream._update.UpdateRefitsEvery'>
51,VAR,<class 'sktime.forecasting.var.VAR'>
52,VARMAX,<class 'sktime.forecasting.varmax.VARMAX'>
53,VECM,<class 'sktime.forecasting.vecm.VECM'>
